district,current_votes,total_votes,percent
Delaware at large,488270,488270,100
Florida’s 1st district,438562,438562,100
Florida’s 2nd district,311999,311999,100
Florida’s 3rd district,390401,390401,100
Florida’s 4th district,504940,504940,100
Florida’s 5th district,336973,336973,100
Florida’s 6th district,437856,437856,100
Florida’s 7th district,406449,406449,100
Florida’s 8th district,459788,459788,100
Florida’s 9th district,429638,429638,100
Florida’s 10th district,376397,376397,100
Florida’s 11th district,475073,475073,100
Florida’s 12th district,453135,453135,100
Florida’s 13th district,406125,406125,100
Florida’s 14th district,372136,372136,100
Florida’s 15th district,390671,390671,100
Florida’s 16th district,484684,484684,100
Florida’s 17th district,412397,412397,100
Florida’s 18th district,449720,449720,100
Florida’s 19th district,444589,444589,100
Florida’s 20th district,322409,322409,100
Florida’s 21st district,403287,403081,100
Florida’s 22nd district,402317,402317,100
Florida’s 23rd district,380196,380196,100
Florida’s 24th district,289638,289638,100
Florida’s 25th district,0,0,0
Florida’s 26th district,342630,342630,100
Florida’s 27th district,342975,342975,100
Georgia’s 1st district,324695,324695,100
Georgia’s 2nd district,273017,273017,100
Georgia’s 3rd district,371336,371336,100
Georgia’s 4th district,348299,348299,100
Georgia’s 5th district,354503,354503,100
Georgia’s 6th district,397104,397104,100
Georgia’s 7th district,371464,371464,100
Georgia’s 8th district,307989,307989,100
Georgia’s 9th district,372550,372550,100
Georgia’s 10th district,378506,378506,100
Georgia’s 11th district,405882,405882,100
Georgia’s 12th district,310099,310099,100
Georgia’s 13th district,360521,360521,100
Georgia’s 14th district,307948,307948,100
Hawaii’s 1st district,254433,254433,100
Hawaii’s 2nd district,272102,272102,100
Idaho’s 1st district,458569,403000,100
Idaho’s 2nd district,391332,371000,100
Illinois’s 1st district,324849,366000,89
Illinois’s 2nd district,297735,340000,88
Illinois’s 3rd district,306848,320000,96
Illinois’s 4th district,222737,236000,94
Illinois’s 5th district,361269,366000,99
Illinois’s 6th district,404001,400000,100
Illinois’s 7th district,310128,348000,89
Illinois’s 8th district,254578,255000,100
Illinois’s 9th district,369170,381000,97
Illinois’s 10th district,312073,323000,97
Illinois’s 11th district,307364,314000,98
Illinois’s 12th district,318318,357000,90
Illinois’s 13th district,330492,362000,91
Illinois’s 14th district,400156,388000,100
Illinois’s 15th district,322360,359000,90
Illinois’s 16th district,335221,350000,96
Illinois’s 17th district,297322,325000,91
Illinois’s 18th district,366044,389000,94
Indiana’s 1st district,326948,326948,100
Indiana’s 2nd district,298568,298568,100
Indiana’s 3rd district,325751,325751,100
Indiana’s 4th district,338515,338515,100
Indiana’s 5th district,416226,416226,100
Indiana’s 6th district,328212,328212,100
Indiana’s 7th district,282568,282568,100
Indiana’s 8th district,320617,320617,100
Indiana’s 9th district,359033,359033,100
Iowa’s 1st district,413435,454000,91
Iowa’s 2nd district,393721,441000,89
Iowa’s 3rd district,447563,468000,96
Iowa’s 4th district,382130,441000,87
Kansas’s 1st district,285836,294000,97
Kansas’s 2nd district,329253,334000,99
Kansas’s 3rd district,397886,387000,100
Kansas’s 4th district,308355,305000,100
Kentucky’s 1st district,328470,328470,100
Kentucky’s 2nd district,360399,360399,100
Kentucky’s 3rd district,368097,368097,100
Kentucky’s 4th district,382509,382509,100
Kentucky’s 5th district,297977,297977,100
Kentucky’s 6th district,378450,378450,100
Louisiana’s 1st district,374369,374369,100
Louisiana’s 2nd district,316982,316982,100
Louisiana’s 3rd district,340120,340120,100
Louisiana’s 4th district,306578,306578,100
Louisiana’s 5th district,309556,309556,100
Louisiana’s 6th district,373996,373996,100
Maine’s 1st district,352234,453000,78
Maine’s 2nd district,326472,406000,80
Maryland’s 1st district,394778,411000,96
Maryland’s 2nd district,331191,354000,94
Maryland’s 3rd district,372475,385000,97
Maryland’s 4th district,353790,364000,97
